rankord,armybranch,age,waittime,comdur,planrepprop,nvictims,ndisappear,nexecut
Colonel,Artillery,49.66666793823242,286,24,0.125,62,57,5
Colonel,Infantry,44.5,286,26,0,1,1,0
Colonel,Infantry,44.58333206176758,288,1,0,0,0,0
Colonel,Artillery,44.91666793823242,286,24,1,219,178,41
Colonel,Artillery,45,298,15,0.20000000298023224,52,49,3
Colonel,Artillery,43.41666793823242,277,20,0,5,5,0
Colonel,Artillery,44.75,273,12,0,0,0,0
Colonel,Artillery,44.91666793823242,273,4,0,0,0,0
Brig. Gen.,NA,NA,NA,12,1,44,37,7
Brig. Gen.,NA,NA,NA,20,0.6000000238418579,78,76,2
Brig. Gen.,NA,NA,NA,16,0,6,6,0
Maj. Gen.,NA,NA,NA,11,0,1,0,1
Maj. Gen.,NA,NA,NA,13,0,0,0,0
Lt. Colonel,Communications,46.16666793823242,286,13,1,155,86,69
Lt. Colonel,Communications,46.08333206176758,287,26,0.5384615659713745,218,134,84
Lt. Colonel,Communications,43.91666793823242,289,20,0,2,1,1
Lt. Colonel,Communications,46.33333206176758,285,16,0,2,1,1
Colonel,Artillery,47.75,322,13,1,42,25,17
Colonel,Artillery,51.5,335,26,0.5384615659713745,45,33,12
Colonel,Artillery,51.75,337,20,0,0,0,0
Colonel,Artillery,50.91666793823242,345,16,0,0,0,0
Lt. Colonel,Infantry,43.66666793823242,274,13,1,2,2,0
Lt. Colonel,Engineering,47.75,299,26,0.5384615659713745,0,0,0
Lt. Colonel,Engineering,44.66666793823242,277,27,0,0,0,0
Lt. Colonel,Artillery,43.91666793823242,286,24,1,0,0,0
Lt. Colonel,Artillery,45.08333206176758,286,24,0.125,1,1,0
Lt. Colonel,Artillery,44,274,25,0,0,0,0
Major,Engineering,42,226,39,0.692307710647583,6,4,2
Major,Engineering,38.33333206176758,205,32,0,0,0,0
Major,Engineering,38.25,201,4,0,0,0,0
Major,Cavalry,44.91666793823242,274,1,1,0,0,0
Major,Artillery,38.83333206176758,203,23,1,0,0,0
Major,Cavalry,40.33333206176758,226,24,0.125,0,0,0
Major,Communications,38.41666793823242,214,17,0,0,0,0
Lt. Colonel,Artillery,45.75,286,24,1,0,0,0
Lt. Colonel,Artillery,45.75,286,24,0.125,0,0,0
Lt. Colonel,Artillery,48.33333206176758,298,23,0,0,0,0
Lt. Colonel,Artillery,47.83333206176758,285,4,0,0,0,0
Lt. Colonel,Cavalry,45.66666793823242,286,24,1,0,0,0
Lt. Colonel,Cavalry,45.25,286,24,0.125,0,0,0
Lt. Colonel,Cavalry,44.75,274,23,0,0,0,0
Lt. Colonel,Cavalry,47.91666793823242,297,4,0,0,0,0
Lt. Colonel,Cavalry,44.25,274,24,1,4,4,0
Lt. Colonel,Cavalry,43.25,274,24,0.125,0,0,0
Lt. Colonel,Cavalry,45.33333206176758,286,23,0,0,0,0
Lt. Colonel,Cavalry,43.91666793823242,273,4,0,0,0,0
Lt. Colonel,Cavalry,45,274,12,1,0,0,0
Lt. Colonel,Cavalry,43.91666793823242,274,36,0.4166666567325592,0,0,0
Lt. Colonel,Cavalry,46.33333206176758,286,11,0,0,0,0
Lt. Colonel,Cavalry,43.25,273,16,0,0,0,0
Lt. Colonel,Infantry,43.66666793823242,274,13,1,8,8,0
Lt. Colonel,Infantry,45.83333206176758,287,26,0.5384615659713745,8,6,2
Lt. Colonel,Infantry,47.66666793823242,289,20,0,0,0,0
Lt. Colonel,Infantry,44.5,273,16,0,0,0,0
