municipio,ext_pov,landgini,occs,logarea,logfam,logpop
Alta Floresta D'Oeste,40.209999084472656,0.5872377157211304,1,8.869510650634766,2.996232032775879,10.372865676879883
Ariquemes,19.329999923706055,0.6480488181114197,4,8.516252517700195,6.703200340270996,11.334802627563477
Cabixi,51.369998931884766,0.5284951329231262,0,7.333480358123779,-4.605170249938965,9.008713722229004
Cacoal,23.860000610351562,0.4216060936450958,1,8.244964599609375,6.214628219604492,11.2763671875
Cerejeiras,30.950000762939453,0.723699688911438,1,7.880426406860352,5.010702133178711,9.980818748474121
Colorado do Oeste,36.060001373291016,0.5666919350624084,1,7.274063587188721,5.703815937042236,10.571137428283691
Costa Marques,30.90999984741211,0.673928439617157,0,8.54492473602295,-4.605170249938965,9.2472505569458
Espigão D'Oeste,33.90999984741211,0.6424325108528137,4,8.417107582092285,6.253848075866699,10.050008773803711
Guajará-Mirim,14.930000305175781,0.7475863099098206,0,10.135154724121094,-4.605170249938965,10.391546249389648
Jaru,26.31999969482422,0.45890194177627563,3,7.975770950317383,6.054462909698486,11.059346199035645
Ji-Paraná,16.579999923706055,0.6319562792778015,0,8.84253215789795,-4.605170249938965,11.490669250488281
Machadinho D'Oeste,26.850000381469727,0.7872569561004639,2,9.054399490356445,3.367640495300293,9.727048873901367
Nova Brasilândia D'Oeste,42.029998779296875,0.4318978190422058,1,7.056088924407959,5.062658309936523,9.667638778686523
Ouro Preto do Oeste,22.760000228881836,0.49116411805152893,2,7.589942455291748,5.541302680969238,11.336868286132812
Pimenta Bueno,16.989999771118164,0.7538529634475708,3,8.741616249084473,5.916229248046875,10.794645309448242
Porto Velho,9.609999656677246,0.8517834544181824,0,10.440258979797363,-4.605170249938965,12.569096565246582
Presidente Médici,29.90999984741211,0.5857828855514526,4,7.434493541717529,6.432956218719482,10.311083793640137
Rolim de Moura,27.729999542236328,0.3110273480415344,0,7.304717540740967,-4.605170249938965,10.997941017150879
Santa Luzia D'Oeste,51.529998779296875,0.560395359992981,0,7.079773902893066,-4.605170249938965,9.419628143310547
São Miguel do Guaporé,58.22999954223633,0.46890345215797424,0,8.963787078857422,-4.605170249938965,9.87601375579834
Nova Mamoré,30.5,0.6124312877655029,3,9.221616744995117,5.455363750457764,8.888481140136719
Alvorada D'Oeste,45.95000076293945,0.524503231048584,0,8.00041675567627,-4.605170249938965,9.954418182373047
Assis Brasil,24.56999969482422,0.688408374786377,0,7.967002868652344,-4.605170249938965,7.978311061859131
Brasiléia,36.22999954223633,0.5898388028144836,0,8.379401206970215,-4.605170249938965,9.91655158996582
Cruzeiro do Sul,36.58000183105469,0.47868627309799194,3,8.972273826599121,5.247076511383057,11.106504440307617
Feijó,44.54999923706055,0.9645712971687317,0,10.031071662902832,-4.605170249938965,9.785210609436035
Mâncio Lima,51.2599983215332,0.7217278480529785,0,8.453657150268555,-4.605170249938965,9.23180866241455
Manoel Urbano,55.45000076293945,0.9082986116409302,0,9.156643867492676,-4.605170249938965,8.580543518066406
Plácido de Castro,40.459999084472656,0.5147435069084167,0,7.628323078155518,-4.605170249938965,9.650851249694824
Rio Branco,14.90999984741211,0.8692046999931335,11,9.206573486328125,7.484374046325684,12.192865371704102
Senador Guiomard,23.940000534057617,0.5668323040008545,7,7.499091148376465,6.063808441162109,9.769327163696289
Sena Madureira,43.18000030517578,0.9378324747085571,0,10.138429641723633,-4.605170249938965,10.09398365020752
Tarauacá,50.380001068115234,0.9344418048858643,0,9.687847137451172,-4.605170249938965,10.227706909179688
Xapuri,27.170000076293945,0.8737727999687195,1,8.460326194763184,4.7875752449035645,9.42270565032959
Alvarães,42.40999984741211,0.6572149395942688,0,8.68911075592041,-4.605170249938965,9.046290397644043
Amaturá,55.849998474121094,0.8005374670028687,0,8.472216606140137,-4.605170249938965,8.463370323181152
Anamã,32.439998626708984,0.6758707761764526,0,7.809865951538086,-4.605170249938965,8.7035064697265625
Anori,29.75,0.6554751992225647,0,8.74424934387207,-4.605170249938965,9.10386848449707
Apuí,30.68000030517578,0.581413745880127,0,10.901376724243164,-4.605170249938965,8.653820037841797
Atalaia do Norte,48.47999954223633,0.9319526553153992,0,11.247488975524902,-4.605170249938965,8.986321449279785
Autazes,51.54999923706055,0.676076352596283,0,8.940118789672852,-4.605170249938965,9.74724292755127
Barcelos,35.189998626708984,0.6426555514335632,0,11.720922470092773,-4.605170249938965,9.30882740020752
Barreirinha,36.189998626708984,0.6504631638526917,0,8.656920433044434,-4.605170249938965,9.699901580810547
Benjamin Constant,45.209999084472656,0.6130365133285522,0,9.075963020324707,-4.605170249938965,9.815311431884766
Beruri,51.47999954223633,0.8369885683059692,0,9.759969711303711,-4.605170249938965,8.914088249206543
Boa Vista do Ramos,42.34000015258789,0.5283933877944946,0,7.8625359535217285,-4.605170249938965,8.92319107055664
Boca do Acre,40.529998779296875,0.9022326469421387,0,10.021430969238281,-4.605170249938965,10.1268310546875
Borba,50.09000015258789,0.8187919855117798,0,10.702178955078125,-4.605170249938965,9.753652572631836
Caapiranga,38.2599983215332,0.594560444355011,0,9.158899307250977,-4.605170249938965,8.829519271850586
Canutama,45.369998931884766,0.8613168597221375,0,10.307168006896973,-4.605170249938965,9.405248641967773
Carauari,48.130001068115234,0.7775945663452148,0,10.161272048950195,-4.605170249938965,9.867756843566895
Careiro,20.65999984741211,0.6116489768028259,0,8.720019340515137,-4.605170249938965,10.367724418640137
Careiro da Várzea,31.200000762939453,0.740048348903656,0,7.879670143127441,-4.605170249938965,9.807031631469727
Coari,46.9900016784668,0.8382048606872559,0,10.96005630493164,-4.605170249938965,10.563026428222656
Codajás,52.31999969482422,0.7556469440460205,0,9.851583480834961,-4.605170249938965,9.5076265335083
Eirunepé,57.5,0.7980308532714844,0,9.676962852478027,-4.605170249938965,9.921916961669922
Envira,59.31999969482422,0.8671568632125854,0,9.501598358154297,-4.605170249938965,9.701310157775879
Fonte Boa,53.779998779296875,0.953467845916748,0,9.406318664550781,-4.605170249938965,9.70777702331543
Guajará,58.18000030517578,0.7339687347412109,0,9.103167533874512,-4.605170249938965,9.3496675491333
Humaitá,44.880001068115234,0.7382305264472961,0,10.41070556640625,-4.605170249938965,10.565969467163086
Ipixuna,72.54000091552734,0.9512355923652649,2,9.520079612731934,4.718588352203369,9.175024032592773
Iranduba,20.260000228881836,0.7164393663406372,0,7.702375411987305,-4.605170249938965,9.845646858215332
Itacoatiara,27.780000686645508,0.7077779173851013,0,9.0993194580078125,-4.605170249938965,10.981165885925293
Itamarati,58.2400016784668,0.8795942068099976,0,10.141921997070312,-4.605170249938965,9.1143798828125
Itapiranga,28.389999389648438,0.9067746996879578,0,8.35457992553711,-4.605170249938965,8.544224739074707
Japurá,31.729999542236328,0.14691203832626343,0,10.933873176574707,-4.605170249938965,9.28516960144043
Juruá,58.16999816894531,0.9226741194725037,0,9.87743091583252,-4.605170249938965,8.526152610778809
Jutaí,41.52000045776367,0.8672890663146973,0,11.154211044311523,-4.605170249938965,9.608445167541504
Lábrea,51.31999969482422,0.9054477214813232,0,11.134714126586914,-4.605170249938965,10.405837059020996
Manacapuru,26.139999389648438,0.7115895748138428,0,8.904888153076172,-4.605170249938965,10.953837394714355
Manaquiri,41.93000030517578,0.6329590678215027,0,8.29031753540039,-4.605170249938965,9.279680252075195
Manicoré,44.0099983215332,0.8174747824668884,0,10.789137840270996,-4.605170249938965,10.541571617126465
Maraã,39.939998626708984,0.48384934663772583,0,9.740156173706055,-4.605170249938965,9.379070281982422
Maués,34.880001068115234,0.7350648641586304,0,10.60072135925293,-4.605170249938965,10.325448989868164
Nhamundá,51.08000183105469,0.6607394814491272,0,9.55912971496582,-4.605170249938965,9.491752624511719
Nova Olinda do Norte,36.560001373291016,0.48475760221481323,0,8.636397361755371,-4.605170249938965,9.46877384185791
Novo Airão,38.20000076293945,0.8862536549568176,0,10.543766021728516,-4.605170249938965,9.5485258102417
Novo Aripuanã,44.93000030517578,0.9362261295318604,0,10.635165214538574,-4.605170249938965,9.361686706542969
Parintins,38.130001068115234,0.6287713646888733,0,8.70033073425293,-4.605170249938965,10.981608390808105
Pauini,40.279998779296875,0.8071117401123047,0,10.679287910461426,-4.605170249938965,9.743143081665039
Presidente Figueiredo,19.329999923706055,0.9087028503417969,0,10.147786140441895,-4.605170249938965,8.866299629211426
Rio Preto da Eva,33.189998626708984,0.8907391428947449,1,8.672314643859863,7.495547294616699,8.782476425170898
Santa Isabel do Rio Negro,59.58000183105469,0.46011143922805786,0,11.05290699005127,-4.605170249938965,9.643485069274902
Santo Antônio do Içá,58.66999816894531,0.7600289583206177,0,9.422463417053223,-4.605170249938965,9.753478050231934
São Gabriel da Cachoeira,31.559999465942383,0.6127984523773193,0,11.60522174835205,-4.605170249938965,10.049318313598633
São Paulo de Olivença,67.5,0.5510746836662292,0,9.899580001831055,-4.605170249938965,9.519515037536621
São Sebastião do Uatumã,31,0.49777474999427795,0,9.2862548828125,-4.605170249938965,8.420461654663086
Silves,35.33000183105469,0.8286688923835754,0,8.228764533996582,-4.605170249938965,8.648747444152832
Tabatinga,32.9900016784668,0.4710048735141754,1,8.083112716674805,-4.605170249938965,10.23720645904541
Tapauá,64.16999816894531,0.5264626145362854,0,11.404372215270996,-4.605170249938965,10.141953468322754
Tefé,22.950000762939453,0.9238055944442749,0,10.077815055847168,-4.605170249938965,10.896183967590332
Tonantins,48.40999984741211,0.7387183904647827,0,8.773585319519043,-4.605170249938965,9.21373462677002
Uarini,29.40999984741211,0.5828672051429749,0,9.239102363586426,-4.605170249938965,8.595449447631836
Urucará,39.83000183105469,0.7090224623680115,0,10.240987777709961,-4.605170249938965,9.33503246307373
Urucurituba,66.5,0.6837934851646423,0,7.979133129119873,-4.605170249938965,9.779793739318848
Alto Alegre,36.47999954223633,0.8120395541191101,0,10.170062065124512,-4.605170249938965,9.324650764465332
Bonfim,43.93000030517578,0.8592524528503418,0,9.003500938415527,-4.605170249938965,9.156728744506836
Caracaraí,23.75,0.9477123022079468,0,10.77108383178711,-4.605170249938965,9.093806266784668
Mucajaí,23.290000915527344,0.49932563304901123,0,9.391119003295898,-4.605170249938965,9.49612045288086
Normandia,62.709999084472656,0.5487076044082642,0,8.854793548583984,-4.605170249938965,9.32259750366211
São João da Baliza,20.81999969482422,0.3013729155063629,0,8.372097969055176,-4.605170249938965,9.224538803100586
São Luiz,29.450000762939453,0.899820864200592,0,7.335568904876709,-4.605170249938965,9.11668872833252
Abaetetuba,32.540000915527344,0.6188117265701294,0,7.386408805847168,-4.605170249938965,11.512815475463867
Acará,24.719999313354492,0.8519979119300842,0,8.38105297088623,-4.605170249938965,10.52363395690918
Afuá,40.31999969482422,0.7510438561439514,0,9.037212371826172,-4.605170249938965,9.903887748718262
Alenquer,40.52000045776367,0.7601447701454163,0,10.106297492980957,-4.605170249938965,10.875326156616211
Almeirim,29.579999923706055,0.9798353314399719,0,11.202149391174316,-4.605170249938965,10.41756820678711
Altamira,25.260000228881836,0.9732879400253296,2,11.991925239562988,5.298367500305176,11.190072059631348
Anajás,24.06999969482422,0.6843523979187012,0,8.856831550598145,-4.605170249938965,9.566895484924316
Ananindeua,12.8100004196167,0.7721154093742371,1,5.25436544418335,5.703815937042236,11.38680648803711
Augusto Corrêa,51,0.5775875449180603,0,6.790322303771973,-4.605170249938965,10.319662094116211
Aveiro,55.2599983215332,0.5113964676856995,0,9.750213623046875,-4.605170249938965,9.294313430786133
Bagre,43.90999984741211,0.7509528994560242,0,8.393351554870605,-4.605170249938965,9.53560733795166
Baião,54.209999084472656,0.7935963869094849,9,8.071624755859375,6.3099365234375,9.90708065032959
Barcarena,23.1299991607666,0.7670803070068359,0,7.182504177093506,-4.605170249938965,10.735221862792969
Benevides,37.75,0.9534733891487122,1,5.180096626281738,4.499920845031738,11.134078025817871
Bom Jesus do Tocantins,38.22999954223633,0.8402902483940125,0,7.9475016593933105,-4.605170249938965,9.677339553833008
Bonito,47.349998474121094,0.7398005127906799,38,6.3364715576171875,8.520589828491211,9.051579475402832
Bragança,40.75,0.6673214435577393,0,7.75965690612793,-4.605170249938965,11.484001159667969
Brejo Grande do Araguaia,58.72999954223633,0.7551212310791016,0,7.0581560134887695,-4.605170249938965,9.387565612792969
Breves,41.54999923706055,0.8386048674583435,0,9.169549942016602,-4.605170249938965,11.18636417388916
Bujaru,38.90999984741211,0.5206362009048462,0,6.906754970550537,-4.605170249938965,9.555134773254395
Cachoeira do Arari,41.04999923706055,0.9221324324607849,0,8.044305801391602,-4.605170249938965,9.491451263427734
Cametá,48.029998779296875,0.641920804977417,0,8.046229362487793,-4.605170249938965,11.352603912353516
Capanema,28.049999237060547,0.539028525352478,0,6.419017314910889,-4.605170249938965,10.842830657958984
Capitão Poço,48.45000076293945,0.6121411323547363,1,7.910957336425781,3.68912935256958,10.724411964416504
Chaves,47.959999084472656,0.8516641855239868,0,9.483713150024414,-4.605170249938965,9.764225959777832
Colares,46.34000015258789,0.9166914224624634,0,6.417549133300781,-4.605170249938965,9.028578758239746
Conceição do Araguaia,24.40999984741211,0.8147912621498108,15,8.674863815307617,6.828722953796387,10.91326904296875
Concórdia do Pará,30.610000610351562,0.4756542146205902,0,6.566250324249268,-4.605170249938965,9.6321382522583
Curionópolis,21.690000534057617,0.8819943070411682,9,7.73591423034668,8.302763938903809,10.562870979309082
Curralinho,36.380001068115234,0.9331480860710144,0,8.194284439086914,-4.605170249938965,9.629313468933105
Curuçá,60.630001068115234,0.7241387963294983,0,6.516636848449707,-4.605170249938965,10.157198905944824
Dom Eliseu,21.399999618530273,0.930673360824585,3,8.574971199035645,5.455363750457764,10.10077953338623
Faro,53.58000183105469,0.6388351321220398,0,9.37757396697998,-4.605170249938965,9.515911102294922
Garrafão do Norte,47.63999938964844,0.6980800032615662,0,7.4950971603393555,-4.605170249938965,9.926861763000488
Gurupá,46.15999984741211,0.6072640419006348,0,9.056979179382324,-4.605170249938965,9.850561141967773
Igarapé-Açu,39.90999984741211,0.56285560131073,0,6.684986591339111,-4.605170249938965,10.214898109436035
Igarapé-Miri,38.36000061035156,0.8160938620567322,0,7.605740547180176,-4.605170249938965,10.641679763793945
Inhangapi,33.18000030517578,0.5890831351280212,0,6.159518241882324,-4.605170249938965,8.805075645446777
Irituia,40.81999969482422,0.6087923645973206,8,7.232877731323242,7.069031715393066,10.345284461975098
Itaituba,24.260000228881836,0.8268013000488281,2,11.04101276397705,5.605838775634766,11.66480541229248
Itupiranga,47.25,0.6900903582572937,4,8.97646427154541,6.3099365234375,10.518970489501953
Jacundá,21.15999984741211,0.7047279477119446,1,7.608275413513184,3.332561492919922,10.669234275817871
Juruti,46.380001068115234,0.6350302696228027,0,9.029153823852539,-4.605170249938965,10.054576873779297
Limoeiro do Ajuru,38.63999938964844,0.7008069157600403,0,7.2474365234375,-4.605170249938965,9.709599494934082
Mãe do Rio,33.90999984741211,0.7986539006233215,1,6.1550703048706055,5.991489410400391,10.278493881225586
Magalhães Barata,50.77000045776367,0.4050690531730652,0,5.793013572692871,-4.605170249938965,8.899867057800293
Marabá,27.309999465942383,0.835407555103302,39,9.626276969909668,8.610321044921875,11.725356101989746
Maracanã,49.13999938964844,0.41824665665626526,0,6.655826568603516,-4.605170249938965,10.149370193481445
Marapanim,42.220001220703125,0.6755567193031311,0,6.6836113929748535,-4.605170249938965,9.907828330993652
Medicilândia,39.70000076293945,0.43444934487342834,0,9.025142669677734,-4.605170249938965,10.299844741821289
Melgaço,44.41999816894531,0.7906419038772583,0,8.82535457611084,-4.605170249938965,9.584521293640137
Mocajuba,34.7599983215332,0.42802876234054565,0,6.757397651672363,-4.605170249938965,9.825309753417969
Moju,39.11000061035156,0.8491922616958618,0,9.18238353729248,-4.605170249938965,10.70153522491455
Monte Alegre,42.279998779296875,0.6451203227043152,3,9.906797409057617,5.193012237548828,10.75685977935791
Muaná,46.279998779296875,0.8427433967590332,0,8.238114356994629,-4.605170249938965,10.015341758728027
Nova Timboteua,40.099998474121094,0.5895026922225952,0,6.198681831359863,-4.605170249938965,9.15133285522461
Óbidos,36.31999969482422,0.7248609066009521,0,10.197108268737793,-4.605170249938965,10.652708053588867
Oeiras do Pará,36.650001525878906,0.9548742771148682,0,8.27685260772705,-4.605170249938965,9.8411865234375
