sex,hhsize,age_num,displace,yrs_dis,other_victim,endorse_coca,rest_yn,dis_return
female,3,21,0,,0,neutral,0,
male,2,79,0,,1,strong agree,0,
male,2,62,0,,1,agree,0,
female,1,73,0,,0,disagree,0,
male,4,44,0,,1,agree,0,
male,5,75,1,60,0,agree,0,1
male,1,67,1,66,1,agree,1,1
female,6,65,0,,0,agree,0,
male,4,33,1,14,1,neutral,1,1
female,4,33,1,14,1,agree,0,1
female,6,52,1,14,1,strong agree,1,1
female,7,34,1,15,1,agree,0,1
male,4,30,1,14,1,strong agree,1,1
male,5,59,0,,0,disagree,0,
male,4,72,1,19,0,agree,0,1
female,4,31,0,,0,agree,0,
female,4,64,0,,0,agree,0,
female,5,64,1,39,0,strong agree,0,0
female,2,53,0,,1,disagree,0,
male,6,43,0,,0,neutral,0,
female,4,28,1,23,1,agree,0,0
male,2,61,0,,1,strong agree,0,
male,5,44,0,,1,neutral,0,
male,5,67,0,,0,agree,0,
female,4,35,0,,0,neutral,0,
male,7,77,1,37,1,disagree,0,0
male,3,67,0,,0,disagree,0,
female,5,43,1,17,1,agree,1,1
male,4,59,0,,0,agree,0,
male,4,58,0,,0,agree,0,
female,3,28,0,,0,agree,0,
female,6,27,0,,1,neutral,0,
female,5,65,1,15,1,agree,0,1
male,2,25,1,15,1,agree,0,1
male,5,47,1,14,1,disagree,0,1
male,3,61,1,14,1,agree,0,1
female,6,26,1,14,1,strong agree,0,1
male,6,49,0,,0,agree,0,
male,2,21,0,,1,disagree,0,
male,5,56,1,,0,agree,0,0
female,9,44,1,15,0,neutral,1,1
female,7,28,1,14,1,strong agree,0,1
female,8,48,1,14,1,agree,0,1
male,4,41,1,14,1,agree,0,1
female,5,35,1,14,1,disagree,0,1
female,4,45,1,32,1,agree,0,1
female,4,57,1,31,1,agree,0,1
female,2,43,0,,0,neutral,0,
male,5,44,1,25,1,agree,0,1
male,5,57,1,19,1,disagree,1,1
female,2,58,0,,1,strong agree,1,
male,5,69,1,14,0,disagree,0,0
female,3,57,0,,0,disagree,0,
female,4,47,0,,0,,0,
female,4,56,0,,0,agree,0,
female,3,67,0,,0,agree,0,
male,5,32,0,,0,neutral,0,
female,5,43,0,,0,strong disagree,0,
male,6,37,0,,0,disagree,0,
female,4,29,1,8,0,disagree,0,0
male,5,60,1,7,1,strong agree,1,0
female,1,68,1,11,1,agree,1,0
male,3,69,1,30,1,agree,0,0
male,4,46,0,,0,agree,0,
female,3,30,0,,0,agree,0,
female,3,52,1,25,1,strong agree,1,0
male,4,41,1,22,1,disagree,0,0
female,4,61,0,,1,agree,0,
female,4,53,1,37,1,strong agree,0,1
male,4,47,0,,0,agree,0,
male,3,24,0,,0,agree,0,
male,2,60,0,,0,agree,0,
female,4,,0,,0,agree,0,
male,1,48,0,,0,agree,0,
female,3,22,0,,0,agree,0,
female,4,40,0,,0,agree,0,
female,2,65,0,,0,agree,0,
male,2,49,1,15,1,strong agree,1,0
male,2,71,0,,0,agree,0,
male,2,42,0,,0,disagree,0,
female,2,62,1,12,0,agree,0,1
male,4,72,0,,0,agree,0,
female,3,63,0,,0,agree,0,
female,3,37,0,,0,strong disagree,0,
male,5,51,1,26,1,disagree,1,1
male,3,65,0,,1,disagree,0,
female,7,53,0,,0,neutral,0,
male,2,55,1,28,1,agree,0,0
male,2,50,0,,0,strong agree,0,
female,3,30,1,19,0,agree,0,0
female,3,27,0,,0,agree,0,
male,4,34,0,,1,agree,0,
male,5,28,0,,0,neutral,0,
male,6,45,1,22,0,neutral,0,1
female,4,48,1,7,0,agree,1,0
female,4,50,0,,1,agree,0,
male,5,37,0,,0,agree,0,
male,4,43,0,,0,agree,0,
male,4,66,1,,1,agree,1,0
female,1,47,1,24,0,agree,0,1
female,3,43,0,,0,agree,0,
female,4,44,0,,0,neutral,0,
male,3,29,1,0,0,agree,0,1
female,4,50,0,,0,strong agree,0,
female,2,52,1,30,1,agree,0,1
female,4,52,1,8,0,agree,0,
male,2,42,0,,1,agree,0,
male,3,55,0,,1,agree,0,
male,3,57,0,,0,disagree,0,
male,3,47,1,30,0,neutral,1,1
female,5,43,1,32,0,agree,0,0
male,4,75,0,,0,agree,0,
female,2,42,0,,0,strong agree,0,
male,2,59,1,30,1,disagree,0,1
female,2,81,0,,0,strong disagree,0,
male,4,42,0,,1,neutral,1,
female,2,76,0,,0,strong agree,0,
male,5,58,0,,0,agree,0,
male,6,39,0,,1,disagree,0,
female,2,62,0,,0,agree,0,
male,3,33,1,16,0,disagree,0,1
male,2,36,1,9,0,agree,0,1
male,2,22,1,10,0,,0,1
female,6,25,0,,1,neutral,0,
male,6,43,0,,0,agree,0,
female,3,56,1,14,0,,0,0
male,2,53,0,,0,disagree,0,
male,6,57,1,17,0,,0,0
female,5,28,0,,0,agree,0,
female,6,72,1,12,0,strong agree,0,0
male,4,66,1,9,1,agree,0,0
female,3,38,1,3,1,agree,1,1
female,4,55,1,5,1,disagree,1,1
female,5,56,1,4,1,disagree,1,0
female,4,35,1,21,1,agree,0,0
female,1,55,0,,1,strong agree,0,
male,5,34,0,,0,agree,0,
female,4,39,1,18,0,neutral,0,1
male,5,37,1,18,1,agree,0,1
male,5,40,1,16,1,strong agree,0,0
female,6,50,0,,1,agree,0,
female,2,46,1,26,1,strong agree,0,1
female,2,57,0,,1,neutral,0,
male,2,51,1,17,0,neutral,0,1
male,2,54,1,23,1,strong agree,0,0
female,3,,0,,0,disagree,0,
female,5,40,1,16,1,agree,0,1
male,1,74,0,,0,agree,0,
male,1,64,0,,0,agree,0,
female,2,47,1,5,1,strong agree,0,0
female,7,60,0,,1,,0,
male,5,37,1,3,0,disagree,0,0
male,1,75,1,24,1,strong agree,0,0
male,2,59,1,2,0,agree,0,0
male,3,59,0,,0,neutral,0,
female,4,30,0,,0,,0,
female,3,52,1,11,1,disagree,1,0
male,3,27,1,2,1,agree,0,0
female,2,21,1,,0,agree,0,0
male,5,50,0,,0,disagree,0,
male,4,58,1,10,1,agree,1,0
male,5,43,1,6,0,agree,0,0
female,4,29,1,15,0,disagree,1,0
female,5,30,1,17,0,agree,0,0
male,6,41,0,,0,strong disagree,0,
female,5,49,0,,1,strong agree,0,
female,4,67,1,15,1,agree,0,0
female,4,32,0,,0,disagree,0,
female,3,43,0,,1,disagree,0,
male,1,52,0,,0,disagree,0,
female,7,55,0,,1,disagree,0,
male,2,40,1,34,0,disagree,0,0
female,5,35,1,8,1,agree,0,1
female,4,45,0,,0,neutral,0,
female,4,42,0,,1,agree,0,
male,4,37,0,,0,neutral,0,
male,3,42,1,15,1,disagree,0,1
female,7,49,1,15,0,disagree,0,0
male,2,68,1,16,1,agree,0,0
male,9,59,0,,0,agree,0,
female,9,68,1,6,0,agree,0,0
male,2,57,1,11,1,disagree,0,1
female,4,35,0,,0,agree,0,
male,3,52,1,19,1,strong disagree,0,1
male,1,41,1,19,1,neutral,0,1
female,5,19,0,,0,neutral,0,
male,4,46,0,,1,agree,0,
female,3,26,0,,0,strong agree,0,
male,1,67,0,,0,agree,0,
male,4,49,0,,0,agree,0,
female,2,55,0,,1,agree,0,
male,1,63,0,,1,agree,0,
female,4,48,0,,0,agree,0,
female,5,48,1,19,1,strong disagree,0,1
female,2,76,0,,1,agree,0,
female,4,36,1,4,1,strong agree,0,0
female,3,61,1,24,1,neutral,0,1
female,1,65,0,,0,agree,0,
male,3,45,0,,1,agree,0,
male,7,44,1,13,1,disagree,0,1
female,3,38,0,,0,agree,0,
male,3,58,0,,0,disagree,0,
female,5,43,1,8,1,agree,1,0
male,1,77,0,,0,neutral,0,
male,1,66,1,15,0,agree,0,1
female,5,35,0,,0,,0,
male,5,36,0,,1,disagree,0,
female,5,49,1,15,1,agree,0,0
male,4,37,1,17,1,neutral,0,0
female,5,36,0,,0,agree,0,
female,5,65,0,,0,agree,0,
female,5,50,1,4,1,neutral,0,0
male,3,27,0,,1,strong disagree,0,
female,5,42,0,,1,,0,
female,3,21,0,,0,strong agree,0,
male,6,58,1,15,0,agree,0,0
male,5,70,0,,0,strong agree,0,
female,4,38,0,,1,strong disagree,0,
female,3,21,0,,0,neutral,0,
male,2,58,0,,1,disagree,0,
female,6,39,1,14,1,strong agree,0,0
female,4,77,0,,1,agree,0,
male,3,49,1,10,0,agree,0,0
male,2,39,0,,1,disagree,0,
female,4,46,0,,0,agree,0,
male,2,71,0,,0,,0,
male,7,25,0,,0,neutral,0,
female,5,39,0,,0,agree,0,
female,4,57,0,,1,disagree,0,
female,7,32,0,,0,neutral,0,
male,3,63,0,,1,agree,0,
female,7,51,0,,0,strong agree,0,
male,3,34,0,,0,neutral,0,
female,4,44,1,22,0,agree,0,0
male,5,50,0,,1,strong agree,0,
female,7,40,0,,0,agree,0,
female,5,50,1,16,1,agree,0,1
male,7,69,0,,0,,0,
male,9,33,0,,1,disagree,0,
female,3,27,1,3,0,neutral,0,1
female,6,48,0,,0,strong agree,0,
male,4,47,0,,0,agree,0,
male,1,65,1,14,0,disagree,0,0
female,7,34,0,,0,neutral,0,
male,6,47,1,21,1,disagree,0,1
female,4,37,1,6,1,neutral,0,0
male,2,30,1,9,1,agree,0,0
female,2,25,1,10,1,strong agree,0,1
male,5,39,1,3,1,neutral,1,1
female,2,62,0,,0,disagree,0,
female,5,64,0,,0,agree,0,
female,5,25,0,,0,neutral,0,
male,3,23,0,,0,disagree,0,
male,5,53,1,18,0,neutral,,
female,3,54,,,,agree,0,
female,4,75,1,17,1,strong agree,0,1
female,6,81,1,17,1,strong agree,1,0
female,6,47,1,12,1,agree,0,1
male,6,40,0,,0,agree,0,
male,5,30,1,17,0,agree,0,1
female,3,44,1,12,0,disagree,1,1
male,6,45,0,,1,agree,0,
female,6,24,0,,1,agree,0,
male,5,37,1,11,1,agree,0,1
male,3,64,0,,1,strong agree,0,
female,8,36,1,11,1,neutral,0,0
male,4,30,0,,1,neutral,0,
male,5,50,1,13,1,strong disagree,0,0
female,3,50,0,,1,agree,0,
female,3,68,1,12,1,agree,0,1
male,4,37,0,,0,neutral,0,
male,7,43,1,5,1,disagree,1,1
male,4,50,0,,0,agree,0,
male,3,31,1,4,0,agree,0,1
female,3,70,1,20,1,disagree,0,1
female,5,45,1,4,0,strong agree,0,1
female,3,29,0,,0,neutral,0,
female,5,43,1,13,0,agree,0,0
female,7,69,1,18,0,disagree,1,1
male,5,36,1,18,1,strong agree,1,1
female,5,31,1,18,0,,0,1
female,3,66,1,18,0,agree,1,1
male,3,63,1,18,0,agree,1,1
female,1,71,1,18,1,strong agree,1,0
male,1,57,1,18,1,agree,1,1
female,3,51,1,18,0,neutral,0,1
female,2,69,1,18,0,neutral,1,1
female,2,49,1,18,1,strong agree,1,1
male,6,31,1,20,1,neutral,0,1
female,4,63,1,18,1,agree,0,1
female,4,42,1,18,0,disagree,0,1
male,2,43,1,18,1,strong agree,0,0
male,4,54,1,18,1,agree,1,1
male,3,70,1,37,0,neutral,0,1
female,6,21,0,,0,disagree,0,
male,7,28,0,,0,neutral,0,
female,3,62,,,,neutral,0,
female,1,60,,,,agree,0,
male,4,22,,,,agree,0,
male,2,45,0,,0,,0,
male,2,65,0,,0,agree,0,
female,2,40,0,,0,agree,0,
female,6,42,0,,0,agree,0,
female,3,,0,,0,agree,0,
female,3,28,1,11,0,strong agree,0,1
male,4,37,1,22,0,agree,1,0
female,3,26,1,17,1,agree,0,0
male,4,79,0,,1,agree,0,
male,5,38,0,,1,agree,0,
male,6,27,0,,1,agree,0,
male,7,43,1,16,1,agree,0,0
female,10,28,1,14,1,neutral,0,0
female,2,62,0,,1,neutral,0,
female,6,50,1,11,1,agree,0,0
female,1,64,1,29,1,neutral,0,0
male,6,62,1,12,1,agree,0,0
male,4,24,0,,1,agree,0,
male,2,64,1,33,1,agree,0,0
female,4,58,1,29,1,agree,0,0
female,3,46,1,11,0,agree,0,0
male,6,57,1,12,1,strong agree,0,0
male,3,,0,,1,agree,0,
male,3,33,0,,1,,0,
female,5,68,1,30,1,strong agree,0,0
male,6,46,1,17,1,disagree,0,0
male,3,54,1,22,1,strong agree,0,0
male,4,38,1,17,0,disagree,0,1
male,7,42,0,,1,agree,0,
male,4,34,0,,1,agree,0,
female,5,34,0,,0,agree,0,
male,5,33,0,,1,agree,0,
female,7,39,0,,0,agree,0,
female,5,59,0,,0,agree,0,
male,2,29,1,2,0,disagree,0,1
male,1,52,1,30,1,disagree,0,0
female,3,70,1,21,1,agree,1,0
female,3,66,1,14,1,agree,1,1
female,6,48,1,18,0,disagree,0,0
male,3,55,1,13,1,disagree,0,1
male,3,39,1,15,0,,0,0
male,4,31,0,,0,disagree,0,
female,4,48,1,12,0,agree,0,0
male,6,60,1,7,1,agree,0,1
male,3,22,0,,1,neutral,0,
female,4,36,1,16,0,agree,1,0
male,9,41,0,,1,disagree,0,
male,5,32,0,,0,neutral,0,
female,6,41,0,,0,neutral,0,
male,7,59,0,,0,agree,1,
female,5,39,0,,1,agree,1,
male,6,48,1,17,1,neutral,1,0
male,5,28,1,17,0,disagree,1,1
male,5,34,1,17,1,neutral,0,1
male,6,41,1,18,0,disagree,0,1
male,4,30,0,,0,disagree,0,
male,12,56,0,,1,agree,0,
male,4,30,1,16,0,disagree,0,1
female,7,40,0,,0,neutral,1,
male,4,43,1,20,0,agree,0,1
male,2,72,0,,0,neutral,0,
female,2,72,0,,0,neutral,0,
male,6,58,1,23,0,neutral,0,1
female,4,39,0,,1,neutral,1,
female,4,38,,,,agree,0,
female,7,74,1,19,0,disagree,1,1
female,6,42,1,17,1,agree,0,1
female,1,21,1,16,,neutral,0,1
female,5,53,1,13,1,strong agree,0,1
male,5,37,1,25,1,strong agree,1,0
female,11,44,1,8,0,neutral,0,1
male,7,66,1,18,1,neutral,0,1
male,6,54,0,,1,neutral,0,
male,3,65,0,,0,agree,0,
male,4,44,1,10,1,agree,1,1
male,8,44,1,17,1,agree,1,0
male,12,49,1,17,0,agree,0,1
male,7,54,1,21,1,agree,0,1
male,7,40,1,17,0,disagree,0,1
male,3,57,,,,agree,0,
male,4,59,,,0,,0,
female,2,64,0,,1,strong agree,0,
female,5,32,,,,strong agree,0,
male,2,64,1,23,1,disagree,0,1
female,3,58,1,28,1,agree,1,1
male,5,76,0,,0,agree,0,
male,5,62,1,15,0,disagree,0,1
male,6,53,1,21,1,agree,0,1
female,4,28,0,,1,neutral,0,
male,12,68,1,17,1,agree,0,0
male,2,58,1,,0,disagree,1,1
male,4,80,1,16,1,strong agree,0,1
male,4,69,1,15,0,disagree,0,0
male,2,52,1,10,0,strong agree,0,1
female,4,33,0,,0,,0,
female,3,34,1,10,1,neutral,0,0
female,5,43,1,20,1,neutral,0,0
male,1,60,1,21,1,agree,1,1
male,6,72,1,22,0,agree,0,1
male,3,83,0,,0,agree,0,
male,2,51,0,,0,neutral,0,
male,4,49,0,,0,neutral,0,
female,4,32,0,,0,neutral,0,
female,3,38,0,,0,disagree,0,
female,4,53,0,,0,agree,0,
female,4,39,0,,0,agree,0,
female,5,26,1,11,0,disagree,0,1
female,6,40,0,,0,agree,0,
male,7,56,0,,1,agree,1,
female,5,37,0,,0,agree,0,
female,6,32,0,,0,agree,0,
male,4,28,,,,agree,0,
female,4,37,,,,agree,,
male,5,29,0,,,neutral,,
female,3,45,,,,neutral,,
male,2,58,1,25,1,agree,0,1
male,5,48,1,25,1,neutral,1,1
male,5,38,0,,0,,0,
female,3,41,1,17,0,disagree,0,1
female,4,48,1,17,0,disagree,0,1
male,3,34,1,25,1,strong agree,0,0
female,3,23,0,,0,agree,0,
male,4,54,1,14,1,agree,0,1
male,5,39,1,15,0,agree,1,0
female,4,50,0,,0,disagree,0,
male,8,53,1,12,1,strong agree,0,1
male,7,40,1,15,0,agree,0,1
male,3,34,0,,0,,0,
female,6,56,1,15,0,agree,1,0
male,3,54,1,15,1,agree,0,1
male,5,38,1,15,1,agree,0,1
male,5,51,1,11,0,neutral,0,1
female,2,27,1,15,1,strong agree,1,0
male,6,56,1,15,1,agree,0,1
male,2,76,1,14,0,disagree,0,1
female,4,21,1,,0,agree,0,0
male,6,73,1,17,1,strong agree,0,1
female,6,46,1,18,0,agree,0,1
male,3,66,1,13,0,disagree,1,1
male,8,71,1,18,1,disagree,0,1
male,3,45,1,19,0,,0,1
female,4,53,0,,0,agree,0,
female,3,54,1,18,1,disagree,0,1
male,5,69,0,,1,strong agree,1,
female,3,46,0,,1,agree,0,
male,4,22,0,,0,neutral,0,
male,5,28,0,,0,agree,0,
female,4,31,0,,0,neutral,0,
female,3,26,0,,0,agree,0,
female,3,26,0,,0,neutral,0,
female,6,31,0,,0,agree,0,
male,5,48,1,,1,neutral,0,1
female,2,22,1,9,0,agree,0,1
female,3,45,0,,0,neutral,0,
male,4,26,1,19,0,agree,0,1
female,3,38,1,20,1,agree,0,1
female,5,57,0,,1,agree,0,
male,5,52,1,11,1,strong agree,0,1
male,3,46,1,25,0,neutral,0,1
male,3,24,0,,0,agree,0,
male,4,38,1,20,1,agree,0,1
male,5,42,1,19,1,agree,1,0
male,2,65,0,,1,disagree,0,
male,2,40,1,18,1,strong disagree,0,1
female,3,57,0,,0,strong agree,0,
male,6,35,1,,0,agree,0,1
male,3,54,1,27,1,agree,0,1
female,3,53,1,20,1,agree,0,1
male,7,33,1,19,0,agree,0,0
female,3,44,0,,0,strong agree,0,
female,1,65,0,,1,agree,0,
male,7,73,0,,1,agree,0,
female,3,56,1,20,0,agree,0,1
male,7,55,1,19,0,agree,0,1
male,4,52,0,,1,disagree,0,
male,3,40,1,18,1,disagree,1,1
female,4,49,0,,1,neutral,0,
female,2,59,0,,0,agree,0,
female,2,61,0,,1,disagree,0,
male,5,49,1,20,0,strong agree,0,1
male,11,53,1,16,0,disagree,1,0
male,2,55,1,16,0,disagree,1,1
female,4,37,1,10,1,neutral,0,0
female,4,48,1,23,1,disagree,1,0
male,4,36,1,16,1,strong disagree,1,0
female,5,36,1,10,1,neutral,1,0
female,5,24,0,,1,agree,0,
female,3,60,1,14,1,disagree,0,1
female,5,48,1,14,1,,0,1
male,4,46,0,,1,,0,
male,3,38,1,16,0,disagree,1,0
male,7,73,1,16,1,neutral,1,1
male,7,30,1,8,1,strong disagree,1,0
female,5,34,1,17,0,agree,0,0
female,2,53,1,15,0,strong disagree,0,0
male,6,70,0,,0,disagree,0,
female,4,31,1,17,1,agree,0,0
female,3,63,1,17,1,strong agree,0,0
female,4,30,0,,0,strong disagree,0,
female,2,44,1,17,0,disagree,0,0
male,4,33,0,,0,neutral,0,
female,4,52,1,17,0,agree,0,0
female,4,36,0,,0,agree,0,
male,6,48,0,,0,strong agree,0,
female,7,52,1,16,1,agree,0,0
female,5,54,1,12,1,neutral,0,0
male,5,46,0,,0,agree,0,
male,8,45,1,17,1,agree,0,1
female,3,26,0,,1,agree,0,
male,4,28,0,,0,strong agree,0,
male,6,32,0,,1,agree,0,
female,4,28,0,,1,disagree,0,
male,2,56,1,17,1,disagree,0,1
female,3,50,1,12,1,strong agree,0,0
male,5,66,1,17,1,agree,0,0
female,2,65,1,17,0,agree,1,0
male,3,63,1,17,0,agree,0,0
female,3,70,1,17,0,agree,1,0
male,4,55,1,17,1,agree,1,0
male,2,54,1,16,0,agree,1,1
male,4,37,1,15,1,neutral,0,0
female,5,44,1,11,0,strong disagree,0,0
female,4,30,1,17,1,agree,0,0
female,3,51,1,16,0,strong agree,0,0
female,4,28,1,10,0,disagree,0,0
female,7,29,1,11,0,neutral,1,1
male,4,27,1,12,0,agree,0,0
male,3,20,1,11,0,neutral,1,0
male,4,28,0,,1,agree,0,
female,2,21,0,,0,disagree,0,
male,5,71,0,,0,agree,0,
male,7,49,0,,1,agree,,
female,2,41,0,,0,disagree,0,
male,3,65,0,,0,neutral,0,
female,3,55,0,,0,neutral,0,
male,5,59,0,,0,agree,0,
male,5,34,0,,1,strong disagree,0,
female,2,68,0,,0,agree,0,
male,2,,0,,0,agree,0,
female,5,46,0,,1,strong agree,0,
male,2,66,0,,0,disagree,0,
male,2,21,0,,0,strong disagree,0,
female,3,49,0,,1,neutral,0,
male,7,35,1,33,0,disagree,0,0
female,5,25,1,21,0,disagree,0,1
male,5,66,1,16,0,disagree,1,1
male,4,62,0,,0,neutral,0,
female,3,26,0,,0,neutral,0,
female,2,24,0,,0,neutral,0,
female,3,40,0,,0,disagree,0,
male,4,46,0,,0,neutral,0,
male,4,70,0,,0,agree,0,
male,9,79,1,16,1,,0,0
male,7,44,0,,0,agree,0,
male,4,57,1,17,1,agree,1,1
male,4,68,0,,1,agree,0,
female,3,65,0,,1,neutral,0,
male,7,50,1,16,1,agree,,1
female,4,48,1,14,1,disagree,,0
female,4,33,1,18,1,neutral,1,1
male,3,42,1,12,1,agree,1,1
female,3,38,1,15,1,agree,0,1
female,3,55,0,,0,agree,0,
male,5,51,1,15,0,agree,0,1
female,3,81,0,,0,,0,
male,3,24,0,,1,neutral,1,
male,1,68,1,19,1,disagree,0,0
male,4,60,1,16,1,agree,1,0
female,5,50,1,12,1,strong agree,0,0
female,6,30,1,14,0,neutral,1,0
male,5,35,1,10,1,agree,1,0
male,6,52,0,,1,agree,0,
female,6,44,1,7,0,agree,0,0
female,5,31,0,,1,neutral,0,
female,3,67,1,7,1,agree,1,0
female,6,26,0,,1,strong agree,0,
female,8,50,0,,1,agree,0,
female,8,37,1,17,1,agree,1,1
female,4,30,1,7,0,strong agree,0,0
male,5,63,0,,1,disagree,1,
male,1,53,1,27,1,agree,1,1
male,10,50,1,10,1,agree,0,0
male,5,41,1,18,0,agree,0,1
female,4,55,1,21,1,agree,0,0
female,4,24,0,,0,strong disagree,1,
male,6,39,0,,1,agree,0,
female,5,29,0,,1,agree,0,
male,1,64,1,,0,strong agree,0,0
female,3,54,1,16,1,disagree,1,1
male,3,29,0,,0,strong agree,0,
male,4,71,0,,0,agree,0,
female,4,55,0,,0,agree,0,
male,5,33,1,7,0,agree,0,1
female,3,69,0,,1,disagree,0,
female,5,50,0,,0,strong agree,0,
female,6,38,1,17,0,agree,0,0
female,7,69,1,16,1,neutral,1,0
male,2,73,1,16,0,agree,1,0
male,3,41,1,15,1,agree,0,0
male,5,56,0,,0,disagree,0,
male,7,46,1,15,1,agree,0,0
male,9,32,1,20,0,strong agree,0,0
female,6,30,0,,0,agree,0,
female,5,36,,,,neutral,0,
male,12,68,0,,0,strong agree,0,
female,5,29,1,14,0,neutral,0,1
male,4,61,1,16,1,neutral,1,0
male,4,31,1,10,1,agree,0,1
male,4,74,1,16,1,disagree,1,1
female,3,29,0,,0,agree,0,
female,5,29,0,,0,strong agree,0,
male,4,54,1,,1,neutral,0,1
male,3,31,1,12,1,strong agree,1,0
female,4,55,1,16,1,disagree,1,1
male,6,60,1,18,0,strong agree,0,1
male,3,71,0,,0,agree,0,
female,3,74,0,,0,strong agree,0,
female,7,24,1,15,0,strong agree,0,1
male,4,27,1,12,1,strong disagree,0,1
male,2,75,0,,0,agree,0,
male,1,69,1,13,0,disagree,0,0
female,4,56,0,,0,agree,0,
female,2,22,0,,1,agree,0,
male,4,49,0,,1,agree,0,
female,2,47,0,,0,agree,0,
female,5,62,0,,0,agree,0,
male,3,45,0,,0,agree,0,
female,2,33,0,,0,agree,0,
female,5,42,,,,agree,,
male,5,46,0,,0,agree,0,
female,3,29,0,,0,,0,
male,3,28,0,,0,agree,0,
female,4,62,1,21,0,neutral,,1
female,2,73,1,16,0,disagree,1,0
female,1,70,0,,1,disagree,0,
female,6,41,1,14,0,strong agree,0,0
female,7,45,1,14,0,strong agree,0,0
male,2,65,0,,0,strong agree,0,
female,4,29,0,,0,agree,0,
male,4,59,1,14,0,strong agree,1,0
female,4,53,1,16,0,neutral,0,0
male,4,41,1,14,1,agree,1,1
male,6,66,1,18,0,strong agree,1,1
male,5,76,0,,0,disagree,1,
female,5,57,1,13,1,strong agree,0,1
male,2,81,1,16,1,neutral,0,0
female,2,84,1,16,0,neutral,0,0
female,6,56,1,20,1,agree,0,1
male,4,79,0,,1,agree,0,
female,6,75,0,,1,agree,0,
male,2,69,1,16,0,agree,0,0
female,5,57,0,,0,strong agree,0,
male,2,68,0,,0,disagree,0,
female,2,57,1,13,1,strong agree,0,1
female,4,38,1,17,1,strong agree,1,1
female,4,30,1,12,1,disagree,0,0
male,7,65,1,32,1,agree,1,1
female,2,53,0,,0,disagree,0,
male,4,57,0,,1,agree,0,
male,5,64,1,14,0,agree,1,1
female,3,28,0,,1,strong disagree,0,
female,5,73,0,,1,agree,1,
female,3,60,1,16,1,agree,1,1
male,3,57,1,12,1,agree,1,1
male,4,41,0,,0,neutral,0,
male,4,60,1,10,1,strong agree,0,1
male,8,61,0,,0,strong agree,0,
male,4,62,1,20,1,disagree,0,0
male,5,61,1,15,0,neutral,0,1
female,4,35,0,,1,agree,0,
male,3,71,0,,1,neutral,0,
female,3,25,0,,1,neutral,1,
female,3,53,1,9,1,disagree,0,0
male,1,54,1,30,0,disagree,1,0
male,1,56,0,,1,agree,0,
female,6,39,0,,0,disagree,0,
female,6,64,1,16,1,disagree,0,0
female,5,57,1,20,1,disagree,1,0
male,6,68,1,16,0,disagree,0,0
male,6,38,1,17,0,neutral,0,1
male,5,27,0,,0,neutral,0,
male,5,37,0,,0,disagree,0,
female,6,50,0,,0,agree,0,
female,4,43,0,,0,neutral,0,
female,3,,1,16,0,strong agree,0,0
male,4,35,0,,,neutral,,
male,6,62,0,,,strong agree,0,
male,8,58,0,,,strong agree,1,
female,4,32,1,13,0,neutral,0,0
female,3,23,0,,0,strong agree,0,
female,8,33,1,4,1,disagree,0,0
male,4,81,0,,1,strong agree,0,
male,9,82,1,25,0,neutral,1,0
male,2,80,1,16,1,strong agree,1,0
male,5,62,1,10,0,agree,1,1
male,4,37,1,15,1,agree,1,1
male,2,68,1,15,1,strong disagree,1,1
male,4,41,1,16,0,agree,0,1
male,3,67,1,15,1,agree,1,1
male,5,80,1,15,1,agree,1,1
male,2,61,1,15,1,agree,1,1
female,5,46,1,16,1,agree,0,1
male,2,59,1,14,1,agree,1,1
male,2,76,1,15,0,agree,1,1
male,3,68,1,16,0,agree,1,1
female,2,61,1,17,1,agree,1,1
female,1,53,1,16,1,agree,1,1
female,3,39,0,,0,disagree,0,
male,1,59,1,13,1,strong agree,1,1
male,6,71,1,16,1,strong disagree,1,1
male,2,72,1,17,0,agree,1,1
female,4,46,1,17,1,disagree,1,0
female,3,36,0,,0,disagree,0,
female,3,46,0,,0,disagree,0,
female,5,37,1,19,0,neutral,0,0
male,7,49,0,,0,neutral,0,
male,4,59,1,15,1,neutral,0,1
female,3,43,0,,0,disagree,0,
female,2,58,0,,0,agree,0,
female,2,59,0,,1,disagree,0,
female,4,46,0,,0,,0,
female,3,25,0,,0,neutral,0,
female,3,32,1,16,1,,0,1
female,3,38,0,,0,disagree,0,
female,5,34,0,,0,neutral,0,
female,2,36,0,,1,disagree,0,
female,4,32,0,,0,,0,
female,3,30,0,,0,neutral,0,
female,3,32,1,16,1,,0,1
male,5,53,1,9,1,agree,0,1
female,3,37,0,,0,disagree,0,
male,1,70,0,,0,strong disagree,0,
female,3,26,0,,0,agree,0,
female,4,40,0,,1,neutral,0,
male,5,66,0,,0,disagree,0,
female,4,40,0,,0,agree,0,
male,5,32,1,16,1,strong agree,1,1
female,7,32,0,,0,strong agree,1,
female,2,40,0,,0,strong disagree,0,
male,2,45,1,15,0,agree,1,1
female,3,58,1,16,0,agree,1,1
male,6,62,1,22,1,disagree,0,1
male,4,82,1,55,1,strong agree,1,0
female,3,26,0,,0,agree,0,
female,4,31,0,,1,neutral,0,
female,4,40,0,,0,agree,0,
female,5,57,0,,1,strong agree,0,
male,4,47,1,19,0,disagree,0,1
female,9,53,1,17,0,agree,1,0
female,4,32,1,17,0,agree,,0
female,3,63,0,,1,disagree,0,
